	req_id	src	tgt_it
17	24	Master Mobile is a family run business set in the heart of Staffordshire, we have been established in this area now for just under 3 years	Master Mobile è un'azienda a conduzione familiare situata nel cuore dello Staffordshire, siamo presenti in questa zona da poco meno di 3 anni
18	25	 RaptorJesus over 7 years ago ThunderBird said: That means Flandre can't kill herself, and the Luna Dial can go bonkers on Remilia, and she still won't age/die of old age	RaptorJesus oltre 7 anni fa ThunderBird ha detto: Ciò significa che Flandre non può uccidersi, e il Luna Dial può impazzire con Remilia, e lei non invecchierà/morirà di vecchiaia
19	26	 Easy-to-Hold Design The tablet’s thin bezel makes it easier to hold it with one hand, freeing up the other to tap through apps or high-five strangers	Design facile da tenere La cornice sottile del tablet rende più facile tenerlo con una mano, liberando l'altra per scorrere le app o fare il cinque con gli sconosciuti
20	27	 ‘The area of Pakistan’, the chiefs noted, ‘is strategically the most important in the continent of India and the majority of our strategic requirements could be met	"""L'area del Pakistan"", hanno osservato i capi, ""è strategicamente la più importante nel continente indiano e la maggior parte delle nostre esigenze strategiche potrebbe essere soddisfatta"
21	28	 Societal and cultural aspects of autism have developed: some in the community seek a cure, while others believe that autism is simply another way of being	Gli aspetti sociali e culturali dell'autismo si sono sviluppati: alcuni nella comunità cercano una cura, mentre altri credono che l'autismo sia semplicemente un altro modo di essere
22	29	 It is supervised by a Board of five members, managed by an executive team, has five employees and around 20 volunteers and interns	È supervisionato da un Consiglio di cinque membri, gestito da un team esecutivo, ha cinque dipendenti e circa 20 volontari e stagisti
24	30	 From a player’s perspective IRPA does not want that debate to be a distraction from making sure the right thing is done by the players now	Dal punto di vista di un giocatore, l’IRPA non vuole che quel dibattito sia una distrazione dal garantire che i giocatori facciano la cosa giusta ora.
25	31	 In Closing I’m really excited to introduce to you The ONE Habit Course	In chiusura sono davvero entusiasta di presentarti il ​​corso ONE Habit
26	32	 DisableTab : false # ShowPluginNameOnMessages: Show the plugin name on messages sent to the players # and console	DisableTab : false # ShowPluginNameOnMessages: Mostra il nome del plugin nei messaggi inviati ai giocatori # e alla console
27	33	” The changes are part of a broader effort by the Pentagon to decrease its projected spending by $487 billion over the next decade in accordance with a deficit-reduction deal President Obama reached with Congress in August	”I cambiamenti fanno parte di uno sforzo più ampio del Pentagono per ridurre la spesa prevista di 487 miliardi di dollari nel prossimo decennio, in conformità con un accordo di riduzione del deficit che il presidente Obama ha raggiunto con il Congresso in agosto.
28	34	 he held the cow's head and forced it to eat grass	tenne la testa della mucca e la costrinse a mangiare l'erba
29	35	" ""Using her smarts, crafting ammo types out of the environment to whittle down the enemy one at a time, using the environment against them, that’s a way she succeeds against overwhelming odds"	"""Usando la sua intelligenza, creando tipi di munizioni dall'ambiente per indebolire il nemico uno alla volta, usando l'ambiente contro di loro, questo è il modo in cui riesce contro probabilità schiaccianti"
30	36	" ""We may need to start off with a path that may not have a full level of service, and the fee would have to reflect that,"" Galloway said"	"""Potremmo dover iniziare con un percorso che potrebbe non avere un livello di servizio completo e la tariffa dovrebbe rifletterlo"", ha affermato Galloway."
31	37	 Much of its economics and legal philosophy reflect anti-authoritarian, anti-statist, libertarian, and radical interpretations of left-wing and socialist politics such as collectivism, communism, individualism, mutualism, and syndicalism, among other libertarian socialist economic theories	Gran parte della sua economia e filosofia giuridica riflettono interpretazioni antiautoritarie, antistataliste, libertarie e radicali della politica di sinistra e socialista come il collettivismo, il comunismo, l'individualismo, il mutualismo e il sindacalismo, tra le altre teorie economiche socialiste libertarie.
32	38	 All those nights of changing my clothes in the minivan as I raced home from work to coach her softball team	Tutte quelle notti passate a cambiarmi nel minivan mentre correvo a casa dal lavoro per allenare la sua squadra di softball
33	39	Hot Mess to Mindful Mom is a new book written by Ali Katz	Hot Mess to Mindful Mom è un nuovo libro scritto da Ali Katz
35	40	 My hope is that your parent company's eagerness to embrace the drone won't lead you to sidestep covering drone problems	La mia speranza è che l'entusiasmo della tua azienda madre nell'adottare i droni non ti porti a trascurare la copertura dei problemi dei droni.
36	41	5, do I need all these if I have the previous version	5, ho bisogno di tutto questo se ho la versione precedente?
37	42	 How early do you think children can, or should, start learning about philosophy	Quanto presto pensi che i bambini possano o debbano iniziare a studiare la filosofia?
38	43	The people in this print are all linked by their support for the Revolution	Le persone in questa stampa sono tutte legate dal loro sostegno alla Rivoluzione
39	44	 Describing her as having ‘sentiments as pure, as refined, and as delicate, as ever inhabited a human heart’ his principle mistake was to ask for sympathy for her plight and pose her as ‘the fairest source of animation and encouragement to all who would follow’	Descrivendola come dotata di “sentimenti puri, raffinati e delicati come mai hanno abitato un cuore umano”, il suo errore principale è stato quello di chiedere compassione per la sua situazione e di presentarla come “la più bella fonte di animazione e incoraggiamento per tutti coloro che l’avrebbero seguita”.
40	45	 The more this is the case the more a country will need foreign workers to get anything done	Quanto più questo accade, tanto più un paese avrà bisogno di lavoratori stranieri per realizzare qualsiasi cosa.
41	46	 The Force-connection scenes between him and Rey were among the highlights of the film, and provided some much-needed characterization for both of them, allowing both to speak, debate, even flirt, without any need for a lightsaber battle	Le scene di connessione alla Forza tra lui e Rey sono state tra i momenti salienti del film e hanno fornito una caratterizzazione molto necessaria per entrambi, consentendo a entrambi di parlare, discutere e persino flirtare, senza alcun bisogno di una battaglia con la spada laser.
42	47	when she leaned over to flick her tongue across the tip , he groaned 	quando si sporse per passargli la lingua sulla punta, lui gemette
43	48	 There are also exercise classes especially for women who are pregnant	Ci sono anche corsi di ginnastica appositamente per le donne incinte
44	49	 Then the bookseller himself , who also was fat and comfortably shabby , and who had beguiled from me the information that I was about to travel , suggested that the `` Poets '' would make very pleasant reading en route 	Poi lo stesso libraio, che era anche lui grasso e piacevolmente trasandato, e che mi aveva estorto l'informazione che stavo per viaggiare, suggerì che i ``Poeti'' sarebbero stati una lettura molto piacevole durante il tragitto.
