	req_id	src	tgt_ar
8	16	 The couple wanted a simple and relaxing landscape design that employed subtle and scattered spot lights which illuminated the exterior stone facades of the farmhouse	أراد الزوجان تصميمًا بسيطًا ومريحًا للمناظر الطبيعية يستخدم أضواءً موضعية دقيقة ومتناثرة تضيء الواجهات الحجرية الخارجية للمزرعة
9	17	 August 27 1883: Krakatoa, in the Sunda Strait between Sumatra and Java, explodes, after a very violent eruption	27 أغسطس 1883: انفجر بركان كراكاتوا في مضيق سوندا بين سومطرة وجاوة، بعد ثوران عنيف للغاية.
10	18	 The grouping of disorders, including PDD-NOS, autism, Asperger syndrome, Rett syndrome, and CDD, has been removed and replaced with the general term of Autism Spectrum Disorders	تم إزالة مجموعة الاضطرابات، بما في ذلك اضطراب النمو الشامل غير المحدد، والتوحد، ومتلازمة أسبرجر، ومتلازمة ريت، واضطراب النمو الحركي، واستبدالها بالمصطلح العام لاضطرابات طيف التوحد
11	19	 A possible explanation might be found in another nugget provided by South Korea’s spy agency: China had long protected Kim Jong Nam and his family in their home base of Macau	ربما نجد تفسيراً محتملاً في معلومة أخرى قدمتها وكالة التجسس في كوريا الجنوبية: لقد كانت الصين تحمي كيم جونج نام وعائلته منذ فترة طويلة في قاعدتهم في ماكاو.
13	20	""" So to go back to what you said, I think there's different functions within their systems that they would like to be updated at different speeds"	"""لذا، للعودة إلى ما قلته، أعتقد أن هناك وظائف مختلفة داخل أنظمتهم والتي يرغبون في تحديثها بسرعات مختلفة"
14	21	 Advertisement Two more years of college later, Mike Shirt is drafted into the Pittsburgh Pirates	إعلان بعد عامين آخرين من الكلية، تم تجنيد مايك شيرت في فريق بيتسبرغ بايرتس
15	22	 Swift hugged her crying mother after the six-woman, two-man jury said in U	احتضنت سويفت والدتها الباكية بعد أن قالت هيئة المحلفين المكونة من ست نساء ورجلين في الولايات المتحدة
16	23	 Welcome to Clix O’Clock, a new weekly feature here on We the Nerdy	مرحبًا بكم في Clix O’Clock، وهي ميزة أسبوعية جديدة هنا على We the Nerdy
17	24	Master Mobile is a family run business set in the heart of Staffordshire, we have been established in this area now for just under 3 years	Master Mobile هي شركة عائلية تقع في قلب ستافوردشاير، وقد تم تأسيسنا في هذه المنطقة الآن منذ أقل من 3 سنوات
18	25	 RaptorJesus over 7 years ago ThunderBird said: That means Flandre can't kill herself, and the Luna Dial can go bonkers on Remilia, and she still won't age/die of old age	قال ThunderBird منذ أكثر من 7 سنوات: هذا يعني أن فلاندر لا تستطيع قتل نفسها، ويمكن أن تصاب ريميليا بالجنون، ولن تتقدم في العمر/تموت بسبب الشيخوخة
19	26	 Easy-to-Hold Design The tablet’s thin bezel makes it easier to hold it with one hand, freeing up the other to tap through apps or high-five strangers	تصميم سهل الإمساك به يجعل الإطار الرفيع للجهاز اللوحي من السهل حمله بيد واحدة، مما يتيح لك استخدام اليد الأخرى للتنقل عبر التطبيقات أو مصافحة الغرباء
20	27	 ‘The area of Pakistan’, the chiefs noted, ‘is strategically the most important in the continent of India and the majority of our strategic requirements could be met	"وأشار الزعماء إلى أن ""منطقة باكستان هي الأكثر أهمية من الناحية الاستراتيجية في قارة الهند، ويمكن تلبية غالبية متطلباتنا الاستراتيجية""."
21	28	 Societal and cultural aspects of autism have developed: some in the community seek a cure, while others believe that autism is simply another way of being	لقد تطورت الجوانب الاجتماعية والثقافية للتوحد: يسعى البعض في المجتمع إلى إيجاد علاج، بينما يعتقد البعض الآخر أن التوحد هو ببساطة طريقة أخرى للوجود.
22	29	 It is supervised by a Board of five members, managed by an executive team, has five employees and around 20 volunteers and interns	يشرف عليها مجلس مكون من خمسة أعضاء، ويديرها فريق تنفيذي، وتضم خمسة موظفين وحوالي 20 متطوعًا ومتدربًا
24	30	 From a player’s perspective IRPA does not want that debate to be a distraction from making sure the right thing is done by the players now	من وجهة نظر اللاعب، لا تريد IRPA أن يكون هذا النقاش بمثابة تشتيت للانتباه عن التأكد من قيام اللاعبين بالشيء الصحيح الآن
25	31	 In Closing I’m really excited to introduce to you The ONE Habit Course	في الختام، أنا متحمس جدًا لتقديم دورة العادة الواحدة لك
26	32	 DisableTab : false # ShowPluginNameOnMessages: Show the plugin name on messages sent to the players # and console	DisableTab: false # ShowPluginNameOnMessages: إظهار اسم البرنامج المساعد في الرسائل المرسلة إلى اللاعبين # ووحدة التحكم
27	33	” The changes are part of a broader effort by the Pentagon to decrease its projected spending by $487 billion over the next decade in accordance with a deficit-reduction deal President Obama reached with Congress in August	"""وتشكل هذه التغييرات جزءاً من جهد أوسع نطاقاً يبذله البنتاغون لتقليص إنفاقه المتوقع بمقدار 487 مليار دولار على مدى العقد المقبل، وفقاً لاتفاقية خفض العجز التي توصل إليها الرئيس أوباما مع الكونجرس في أغسطس/آب الماضي."
28	34	 he held the cow's head and forced it to eat grass	أمسك رأس البقرة وأجبرها على أكل العشب
29	35	" ""Using her smarts, crafting ammo types out of the environment to whittle down the enemy one at a time, using the environment against them, that’s a way she succeeds against overwhelming odds"	"""باستخدام ذكائها، وصنع أنواع الذخيرة من البيئة لتقليص أعداد الأعداء واحدًا تلو الآخر، واستخدام البيئة ضدهم، فهذه هي الطريقة التي تنجح بها ضد الصعاب الساحقة"
30	36	" ""We may need to start off with a path that may not have a full level of service, and the fee would have to reflect that,"" Galloway said"	"وقال جالواي ""قد نحتاج إلى البدء بمسار قد لا يتضمن مستوى كاملاً من الخدمة، ويجب أن تعكس الرسوم ذلك""."
31	37	 Much of its economics and legal philosophy reflect anti-authoritarian, anti-statist, libertarian, and radical interpretations of left-wing and socialist politics such as collectivism, communism, individualism, mutualism, and syndicalism, among other libertarian socialist economic theories	يعكس الكثير من اقتصادها وفلسفتها القانونية تفسيرات مناهضة للاستبداد، ومعادية للدولة، وليبرتارية، وجذرية للسياسات اليسارية والاشتراكية مثل الجماعية، والشيوعية، والفردية، والتبادلية، والنقابية، من بين النظريات الاقتصادية الاشتراكية الليبرتارية الأخرى.
32	38	 All those nights of changing my clothes in the minivan as I raced home from work to coach her softball team	كل تلك الليالي التي قضيتها في تغيير ملابسي في السيارة الصغيرة بينما كنت أعود مسرعًا إلى المنزل من العمل لتدريب فريق كرة البيسبول الخاص بها
33	39	Hot Mess to Mindful Mom is a new book written by Ali Katz	"""الفوضى العارمة للأم الواعية"" هو كتاب جديد كتبه علي كاتز"
35	40	 My hope is that your parent company's eagerness to embrace the drone won't lead you to sidestep covering drone problems	أتمنى ألا يؤدي حرص شركتك الأم على تبني الطائرات بدون طيار إلى تجنبك تغطية مشاكل الطائرات بدون طيار
36	41	5, do I need all these if I have the previous version	5، هل أحتاج إلى كل هذه إذا كان لدي الإصدار السابق
37	42	 How early do you think children can, or should, start learning about philosophy	في أي وقت تعتقد أنه يمكن للأطفال، أو ينبغي لهم، البدء في تعلم الفلسفة؟
38	43	The people in this print are all linked by their support for the Revolution	يرتبط جميع الأشخاص في هذه المطبوعة بدعمهم للثورة
39	44	 Describing her as having ‘sentiments as pure, as refined, and as delicate, as ever inhabited a human heart’ his principle mistake was to ask for sympathy for her plight and pose her as ‘the fairest source of animation and encouragement to all who would follow’	"ووصفها بأنها ""تتمتع بمشاعر نقية وراقية وحساسة، كما سكنت قلب الإنسان""، وكان خطأه الأساسي هو طلب التعاطف مع محنتها وتصويرها على أنها ""المصدر الأكثر عدالة للحيوية والتشجيع لكل من يتبعه""."
40	45	 The more this is the case the more a country will need foreign workers to get anything done	كلما كان هذا هو الحال، كلما احتاجت الدولة إلى عمال أجانب لإنجاز أي شيء.
41	46	 The Force-connection scenes between him and Rey were among the highlights of the film, and provided some much-needed characterization for both of them, allowing both to speak, debate, even flirt, without any need for a lightsaber battle	كانت مشاهد ربط القوة بينه وبين ري من بين أبرز أحداث الفيلم، وقد وفرت بعض السمات الشخصية التي يحتاجها كل منهما بشدة، مما يسمح لكليهما بالتحدث والمناقشة وحتى المغازلة، دون الحاجة إلى معركة بالسيوف الضوئية.
42	47	when she leaned over to flick her tongue across the tip , he groaned 	عندما انحنت لتحريك لسانها عبر الطرف، تأوه
43	48	 There are also exercise classes especially for women who are pregnant	هناك أيضًا فصول تمارين رياضية خاصة للنساء الحوامل
44	49	 Then the bookseller himself , who also was fat and comfortably shabby , and who had beguiled from me the information that I was about to travel , suggested that the `` Poets '' would make very pleasant reading en route 	"ثم اقترح بائع الكتب نفسه، الذي كان أيضًا سمينًا وبائسًا، والذي خدعني بمعلومات مفادها أنني على وشك السفر، أن ""الشعراء"" سوف يقدمون قراءة ممتعة للغاية في الطريق."
